desa  ,longitude,latitude,luas_sawah_ha,kec,c,clat,clong
Pondokagung,112.327803,-7.840875,27.0,Kasembon,2,-8.076277541865924,60.962571606312025
Bayem,112.32785,-7.810405,106.5,Kasembon,2,-8.076277541865924,60.962571606312025
Pait,112.363629,-7.797927,164.0,Kasembon,0,-8.077813741918447,155.9316129943443
Wonoagung,112.351681,-7.778577999999999,79.0,Kasembon,2,-8.076277541865924,60.962571606312025
Kasembon,112.345696,-7.804500999999999,110.5,Kasembon,0,-8.077813741918447,155.9316129943443
Sukosari,112.300984,-7.778699,220.0,Kasembon,1,-8.145971173121303,279.00798459819464
Pagersari,112.375451,-7.929349,54.0,Ngantang,2,-8.076277541865924,60.962571606312025
Sidodadi,112.399341,-7.9186,124.0,Ngantang,0,-8.077813741918447,155.9316129943443
Banjarejo,112.396362,-7.900927999999999,89.0,Ngantang,2,-8.076277541865924,60.962571606312025
Purworejo,112.399285,-7.887795,97.0,Ngantang,2,-8.076277541865924,60.962571606312025
Ngantru,112.348654,-7.913775,124.0,Ngantang,0,-8.077813741918447,155.9316129943443
Banturejo,112.366561,-7.877107,55.0,Ngantang,2,-8.076277541865924,60.962571606312025
Pandansari,112.348248,-7.882133,84.0,Ngantang,2,-8.076277541865924,60.962571606312025
Mulyorejo,112.378466,-7.871207000000001,102.0,Ngantang,2,-8.076277541865924,60.962571606312025
Sumberagung,112.384408,-7.855579,107.0,Ngantang,2,-8.076277541865924,60.962571606312025
Kaumrejo,112.363341,-7.848988,48.0,Ngantang,2,-8.076277541865924,60.962571606312025
Tulungrejo,112.384284,-7.829791,112.0,Ngantang,0,-8.077813741918447,155.9316129943443
Waturejo,112.372571,-7.835978,96.5,Ngantang,2,-8.076277541865924,60.962571606312025
Jombok,112.372191,-7.815163,135.0,Ngantang,0,-8.077813741918447,155.9316129943443
Bendosari,112.435016,-7.8853149999999985,23.11,Pujon,2,-8.076277541865924,60.962571606312025
Sukomulyo,112.43506200000002,-7.855084,89.9,Pujon,2,-8.076277541865924,60.962571606312025
Pujon Kidul,112.461926,-7.8562949999999985,116.8,Pujon,0,-8.077813741918447,155.9316129943443
Pujon Lor,112.473725,-7.84518,22.5,Pujon,2,-8.076277541865924,60.962571606312025
Pandensari,112.470727,-7.883088000000001,96.86,Pujon,2,-8.076277541865924,60.962571606312025
Ngroto,112.461914,-7.841174,133.91299999999998,Pujon,0,-8.077813741918447,155.9316129943443
Ngabab,112.435157,-7.835048,92.5,Pujon,2,-8.076277541865924,60.962571606312025
Tawangsari,112.444133,-7.816381,147.0,Pujon,0,-8.077813741918447,155.9316129943443
Madiredo,112.461897,-7.820305,157.0,Pujon,0,-8.077813741918447,155.9316129943443
Wiyurejo,112.435364,-7.793146000000001,195.5,Pujon,0,-8.077813741918447,155.9316129943443
Kucur,112.51255,-7.957238999999999,1.0,Dau,2,-8.076277541865924,60.962571606312025
Kalisongo,112.586938,-7.965837,14.0,Dau,2,-8.076277541865924,60.962571606312025
Karangwidoro,112.569061,-7.957058,38.0,Dau,2,-8.076277541865924,60.962571606312025
Petungsewu,112.55133899999998,-7.947902,30.0,Dau,2,-8.076277541865924,60.962571606312025
Selorejo,112.539294,-7.938488,43.0,Dau,2,-8.076277541865924,60.962571606312025
Tegalwaru,112.5633,-7.9368089999999984,33.0,Dau,2,-8.076277541865924,60.962571606312025
Landungsari,112.586673,-7.930827000000002,55.0,Dau,2,-8.076277541865924,60.962571606312025
Mulyoagung,112.587063,-7.920433,45.0,Dau,2,-8.076277541865924,60.962571606312025
Gadingkulon,112.545446,-7.927834,105.0,Dau,2,-8.076277541865924,60.962571606312025
Sumbersekar,112.569167,-7.921507000000001,85.0,Dau,2,-8.076277541865924,60.962571606312025
Kelurahan Lawang,112.694331,-7.833104,1.0,Lawang,2,-8.076277541865924,60.962571606312025
Kelurahan Kalirejo,112.700429,-7.847751,76.0,Lawang,2,-8.076277541865924,60.962571606312025
Sidoluhur,112.733099,-7.8894009999999986,53.0,Lawang,2,-8.076277541865924,60.962571606312025
Srigading,112.744842,-7.857694,23.0,Lawang,2,-8.076277541865924,60.962571606312025
Sidodadi,112.712283,-7.857431,74.0,Lawang,2,-8.076277541865924,60.962571606312025
Bedali,112.690469,-7.855917,75.0,Lawang,2,-8.076277541865924,60.962571606312025
Mulyoarjo,112.712181,-7.837006,98.0,Lawang,2,-8.076277541865924,60.962571606312025
